# Numerized from Westberry et al, 2013, "Influence of Raman scattering on ocean color inversion models"
# Ratio between Rrs including Raman and Rrs without Raman
# Sun zenith angle is 30degrees
# wl(nm) chl=0.01 chl=0.02 chl=0.03 chl=0.04 chl=0.07 chl=0.1 chl=0.2 chl=0.3 chl=0.5 chl=0.7 chl=1. chl=2. chl=5.
560 1.555e-01 1.432e-01 1.348e-01 1.276e-01 1.127e-01 1.018e-01 8.028e-02 6.784e-02 5.304e-02 4.404e-02 3.548e-02 2.244e-02 1.167e-02
565 1.581e-01 1.457e-01 1.370e-01 1.298e-01 1.145e-01 1.034e-01 8.144e-02 6.881e-02 5.366e-02 4.444e-02 3.585e-02 2.267e-02 1.162e-02
570 1.608e-01 1.483e-01 1.391e-01 1.321e-01 1.163e-01 1.050e-01 8.260e-02 6.979e-02 5.429e-02 4.485e-02 3.621e-02 2.290e-02 1.157e-02
575 1.635e-01 1.508e-01 1.413e-01 1.343e-01 1.181e-01 1.067e-01 8.377e-02 7.076e-02 5.491e-02 4.540e-02 3.664e-02 2.340e-02 1.213e-02
580 1.732e-01 1.593e-01 1.493e-01 1.414e-01 1.246e-01 1.128e-01 8.860e-02 7.495e-02 5.847e-02 4.890e-02 3.896e-02 2.491e-02 1.271e-02
585 1.831e-01 1.685e-01 1.577e-01 1.489e-01 1.313e-01 1.189e-01 9.343e-02 7.951e-02 6.222e-02 5.241e-02 4.138e-02 2.645e-02 1.347e-02
590 1.955e-01 1.798e-01 1.684e-01 1.593e-01 1.401e-01 1.270e-01 1.002e-01 8.520e-02 6.678e-02 5.608e-02 4.546e-02 2.903e-02 1.511e-02
595 2.079e-01 1.910e-01 1.788e-01 1.694e-01 1.488e-01 1.352e-01 1.070e-01 9.085e-02 7.126e-02 5.943e-02 4.946e-02 3.147e-02 1.651e-02
600 2.044e-01 1.877e-01 1.756e-01 1.664e-01 1.467e-01 1.329e-01 1.053e-01 8.929e-02 7.025e-02 5.943e-02 4.884e-02 3.189e-02 1.660e-02
605 2.009e-01 1.845e-01 1.725e-01 1.633e-01 1.445e-01 1.304e-01 1.035e-01 8.773e-02 6.925e-02 5.943e-02 4.822e-02 3.215e-02 1.669e-02
610 1.973e-01 1.813e-01 1.693e-01 1.602e-01 1.414e-01 1.279e-01 1.017e-01 8.616e-02 6.824e-02 5.791e-02 4.759e-02 3.152e-02 1.678e-02
615 1.939e-01 1.781e-01 1.662e-01 1.572e-01 1.383e-01 1.254e-01 9.995e-02 8.460e-02 6.724e-02 5.651e-02 4.697e-02 3.088e-02 1.678e-02
620 1.927e-01 1.768e-01 1.648e-01 1.556e-01 1.367e-01 1.237e-01 9.816e-02 8.303e-02 6.623e-02 5.584e-02 4.634e-02 3.067e-02 1.678e-02
625 1.915e-01 1.756e-01 1.635e-01 1.541e-01 1.351e-01 1.220e-01 9.659e-02 8.155e-02 6.526e-02 5.517e-02 4.576e-02 3.075e-02 1.678e-02
630 1.952e-01 1.777e-01 1.653e-01 1.557e-01 1.363e-01 1.229e-01 9.708e-02 8.198e-02 6.563e-02 5.517e-02 4.604e-02 3.082e-02 1.678e-02
635 1.989e-01 1.800e-01 1.672e-01 1.576e-01 1.375e-01 1.239e-01 9.757e-02 8.267e-02 6.594e-02 5.547e-02 4.632e-02 3.090e-02 1.717e-02
640 2.014e-01 1.823e-01 1.691e-01 1.594e-01 1.386e-01 1.250e-01 9.806e-02 8.352e-02 6.617e-02 5.577e-02 4.661e-02 3.097e-02 1.763e-02
645 2.039e-01 1.846e-01 1.711e-01 1.613e-01 1.398e-01 1.260e-01 9.855e-02 8.437e-02 6.652e-02 5.607e-02 4.689e-02 3.127e-02 1.810e-02
650 2.169e-01 1.953e-01 1.809e-01 1.700e-01 1.469e-01 1.322e-01 1.030e-01 8.764e-02 6.954e-02 5.873e-02 4.915e-02 3.288e-02 1.857e-02
655 2.295e-01 2.059e-01 1.903e-01 1.790e-01 1.540e-01 1.385e-01 1.074e-01 9.081e-02 7.229e-02 6.109e-02 5.101e-02 3.410e-02 1.904e-02
660 2.258e-01 2.022e-01 1.864e-01 1.748e-01 1.500e-01 1.343e-01 1.039e-01 8.776e-02 6.970e-02 5.884e-02 4.916e-02 3.273e-02 1.894e-02
665 2.221e-01 1.985e-01 1.825e-01 1.704e-01 1.460e-01 1.302e-01 1.004e-01 8.477e-02 6.712e-02 5.663e-02 4.744e-02 3.142e-02 1.880e-02
670 2.238e-01 1.996e-01 1.831e-01 1.709e-01 1.461e-01 1.301e-01 1.003e-01 8.437e-02 6.669e-02 5.615e-02 4.719e-02 3.186e-02 1.866e-02
675 2.255e-01 2.007e-01 1.837e-01 1.713e-01 1.463e-01 1.299e-01 1.002e-01 8.398e-02 6.640e-02 5.602e-02 4.694e-02 3.230e-02 1.852e-02
680 2.329e-01 2.069e-01 1.893e-01 1.764e-01 1.500e-01 1.333e-01 1.023e-01 8.597e-02 6.789e-02 5.704e-02 4.755e-02 3.274e-02 1.881e-02
685 2.405e-01 2.134e-01 1.949e-01 1.816e-01 1.540e-01 1.368e-01 1.045e-01 8.804e-02 6.904e-02 5.806e-02 4.834e-02 3.319e-02 1.918e-02
690 2.426e-01 2.152e-01 1.968e-01 1.831e-01 1.555e-01 1.381e-01 1.060e-01 8.923e-02 6.978e-02 5.909e-02 4.914e-02 3.375e-02 1.954e-02
695 2.446e-01 2.169e-01 1.987e-01 1.847e-01 1.570e-01 1.393e-01 1.074e-01 9.042e-02 7.053e-02 6.006e-02 4.988e-02 3.423e-02 1.986e-02
700 2.391e-01 2.119e-01 1.941e-01 1.806e-01 1.537e-01 1.370e-01 1.045e-01 8.826e-02 6.943e-02 5.894e-02 4.904e-02 3.356e-02 2.008e-02
